0h_chong	0h_chong-1	Clean/0h_chong-1_1.fastq.gz	Clean/0h_chong-1_2.fastq.gz
1h_chong	0h_chong-2	Clean/0h_chong-2_1.fastq.gz	Clean/0h_chong-2_2.fastq.gz
2h_chong	0h_chong-3	Clean/0h_chong-3_1.fastq.gz	Clean/0h_chong-3_2.fastq.gz
12h_Light_Chong	12h_Light_Chong-1	Clean/12h_Light_Chong-1_1.fastq.gz	Clean/12h_Light_Chong-1_2.fastq.gz
13h_Light_Chong	12h_Light_Chong-2	Clean/12h_Light_Chong-2_1.fastq.gz	Clean/12h_Light_Chong-2_2.fastq.gz
14h_Light_Chong	12h_Light_Chong-3	Clean/12h_Light_Chong-3_1.fastq.gz	Clean/12h_Light_Chong-3_2.fastq.gz
12h_UV_chong	12h_UV_chong-1	Clean/12h_UV_chong-1_1.fastq.gz	Clean/12h_UV_chong-1_2.fastq.gz
13h_UV_chong	12h_UV_chong-2	Clean/12h_UV_chong-2_1.fastq.gz	Clean/12h_UV_chong-2_2.fastq.gz
14h_UV_chong	12h_UV_chong-3	Clean/12h_UV_chong-3_1.fastq.gz	Clean/12h_UV_chong-3_2.fastq.gz
7d_light_chong	7d_light_chong-1	Clean/7d_light_chong-1_1.fastq.gz	Clean/7d_light_chong-1_2.fastq.gz
8d_light_chong	7d_light_chong-2	Clean/7d_light_chong-2_1.fastq.gz	Clean/7d_light_chong-2_2.fastq.gz
9d_light_chong	7d_light_chong-3	Clean/7d_light_chong-3_1.fastq.gz	Clean/7d_light_chong-3_2.fastq.gz
7d_UV_chong	7d_UV_chong-1	Clean/7d_UV_chong-1_1.fastq.gz	Clean/7d_UV_chong-1_2.fastq.gz
8d_UV_chong	7d_UV_chong-2	Clean/7d_UV_chong-2_1.fastq.gz	Clean/7d_UV_chong-2_2.fastq.gz
9d_UV_chong	7d_UV_chong-3	Clean/7d_UV_chong-3_1.fastq.gz	Clean/7d_UV_chong-3_2.fastq.gz
