gene	module
TRINITY_DN7866_c4_g1	turquoise
TRINITY_DN2233_c3_g1	blue
TRINITY_DN51411_c1_g1	turquoise
TRINITY_DN5644_c1_g1	blue
TRINITY_DN3830_c1_g1	turquoise
TRINITY_DN11127_c3_g1	turquoise
TRINITY_DN439_c1_g3	turquoise
TRINITY_DN107748_c0_g1	blue
TRINITY_DN16148_c0_g1	turquoise
TRINITY_DN192814_c0_g1	turquoise
TRINITY_DN14500_c1_g1	turquoise
TRINITY_DN3326_c20_g1	blue
TRINITY_DN1555_c0_g1	turquoise
TRINITY_DN7497_c10_g1	turquoise
TRINITY_DN14136_c0_g1	turquoise
TRINITY_DN135922_c0_g1	turquoise
TRINITY_DN18900_c0_g2	turquoise
TRINITY_DN29904_c2_g1	turquoise
TRINITY_DN192121_c0_g1	blue
TRINITY_DN1171_c4_g1	turquoise
TRINITY_DN2309_c0_g1	turquoise
TRINITY_DN132216_c1_g1	blue
TRINITY_DN948_c0_g1	turquoise
TRINITY_DN94_c0_g2	blue
TRINITY_DN117906_c0_g1	turquoise
TRINITY_DN4563_c2_g2	grey
TRINITY_DN135888_c0_g1	blue
TRINITY_DN17256_c0_g1	turquoise
TRINITY_DN5273_c2_g1	blue
TRINITY_DN3525_c0_g5	blue
TRINITY_DN11737_c2_g3	turquoise
TRINITY_DN209605_c0_g1	blue
TRINITY_DN98337_c0_g1	grey
TRINITY_DN119027_c0_g1	turquoise
TRINITY_DN31486_c0_g3	turquoise
TRINITY_DN8414_c0_g1	turquoise
TRINITY_DN151001_c0_g1	blue
TRINITY_DN94992_c0_g1	blue
TRINITY_DN100224_c0_g1	grey
TRINITY_DN97398_c0_g1	turquoise
TRINITY_DN3549_c0_g1	turquoise
TRINITY_DN31509_c0_g1	turquoise
TRINITY_DN15132_c1_g3	turquoise
TRINITY_DN5764_c0_g1	turquoise
TRINITY_DN53524_c0_g1	turquoise
TRINITY_DN7411_c1_g1	turquoise
TRINITY_DN52786_c0_g1	blue
TRINITY_DN30146_c2_g1	turquoise
TRINITY_DN41127_c0_g2	blue
TRINITY_DN5372_c0_g1	blue
TRINITY_DN118971_c0_g1	turquoise
TRINITY_DN1312_c2_g1	blue
TRINITY_DN8966_c1_g1	blue
TRINITY_DN20667_c3_g1	turquoise
TRINITY_DN124915_c0_g1	turquoise
