gene	module
TRINITY_DN123231_c0_g1	turquoise
TRINITY_DN91783_c1_g1	turquoise
TRINITY_DN28965_c0_g1	turquoise
TRINITY_DN28505_c0_g1	blue
TRINITY_DN141450_c0_g1	blue
TRINITY_DN64971_c0_g1	turquoise
TRINITY_DN7924_c1_g2	blue
TRINITY_DN26939_c4_g1	turquoise
TRINITY_DN45890_c0_g1	turquoise
TRINITY_DN151682_c0_g1	grey
TRINITY_DN59241_c0_g3	blue
TRINITY_DN4884_c14_g1	blue
TRINITY_DN39522_c0_g1	turquoise
TRINITY_DN114881_c0_g1	turquoise
TRINITY_DN21099_c0_g1	turquoise
TRINITY_DN1_c0_g2	turquoise
TRINITY_DN4116_c0_g1	turquoise
TRINITY_DN34873_c1_g1	turquoise
TRINITY_DN73830_c0_g1	turquoise
TRINITY_DN22077_c0_g2	turquoise
TRINITY_DN130391_c0_g1	turquoise
TRINITY_DN160709_c0_g1	turquoise
TRINITY_DN2832_c3_g3	turquoise
TRINITY_DN129529_c0_g1	turquoise
TRINITY_DN165_c5_g1	blue
TRINITY_DN18947_c5_g1	turquoise
TRINITY_DN11377_c2_g2	blue
TRINITY_DN92572_c0_g1	turquoise
TRINITY_DN13635_c0_g1	turquoise
TRINITY_DN164616_c0_g2	blue
TRINITY_DN197035_c0_g1	grey
TRINITY_DN47219_c1_g3	red
TRINITY_DN70867_c0_g1	blue
TRINITY_DN10951_c0_g1	turquoise
TRINITY_DN202867_c0_g1	grey
TRINITY_DN91766_c0_g1	grey
TRINITY_DN57560_c1_g1	grey
TRINITY_DN120353_c2_g1	turquoise
TRINITY_DN4210_c0_g1	blue
TRINITY_DN15161_c0_g1	blue
TRINITY_DN105385_c0_g1	blue
TRINITY_DN48554_c0_g1	turquoise
TRINITY_DN8857_c0_g1	green
TRINITY_DN83706_c0_g1	turquoise
TRINITY_DN133738_c0_g1	blue
TRINITY_DN2887_c2_g2	blue
TRINITY_DN136566_c0_g1	blue
TRINITY_DN139821_c0_g1	turquoise
TRINITY_DN826_c5_g1	turquoise
TRINITY_DN21773_c0_g1	turquoise
TRINITY_DN53416_c1_g1	turquoise
TRINITY_DN21884_c0_g1	turquoise
TRINITY_DN222510_c0_g1	grey
TRINITY_DN187768_c0_g1	turquoise
TRINITY_DN54485_c0_g1	turquoise
TRINITY_DN146051_c0_g1	grey
TRINITY_DN36459_c1_g1	turquoise
TRINITY_DN223099_c0_g1	blue
TRINITY_DN118233_c0_g1	grey
TRINITY_DN37725_c1_g1	turquoise
TRINITY_DN931_c1_g1	blue
TRINITY_DN147841_c0_g1	turquoise
TRINITY_DN101314_c3_g1	turquoise
TRINITY_DN29118_c2_g2	grey
TRINITY_DN57593_c1_g1	blue
TRINITY_DN43023_c3_g1	turquoise
TRINITY_DN20104_c1_g1	blue
TRINITY_DN145400_c0_g1	blue
TRINITY_DN13661_c0_g1	blue
TRINITY_DN40920_c0_g1	grey
TRINITY_DN1211_c1_g1	turquoise
TRINITY_DN22001_c1_g1	turquoise
TRINITY_DN40601_c2_g1	turquoise
TRINITY_DN105352_c0_g1	turquoise
TRINITY_DN38650_c0_g1	turquoise
TRINITY_DN112152_c0_g1	turquoise
TRINITY_DN77532_c0_g1	turquoise
TRINITY_DN584_c3_g1	blue
TRINITY_DN9674_c0_g1	turquoise
TRINITY_DN14712_c0_g1	turquoise
TRINITY_DN38339_c0_g1	grey
TRINITY_DN58345_c1_g1	brown
TRINITY_DN86658_c0_g2	turquoise
TRINITY_DN16657_c0_g1	red
TRINITY_DN2463_c4_g1	blue
TRINITY_DN41913_c0_g1	blue
TRINITY_DN795_c4_g1	grey
TRINITY_DN12329_c0_g1	turquoise
TRINITY_DN6178_c2_g1	blue
TRINITY_DN59920_c2_g1	grey
TRINITY_DN27809_c0_g1	blue
TRINITY_DN66083_c0_g1	turquoise
TRINITY_DN24089_c0_g2	grey
TRINITY_DN40534_c2_g1	grey
TRINITY_DN191273_c0_g1	blue
TRINITY_DN24390_c0_g1	blue
TRINITY_DN5381_c0_g1	blue
TRINITY_DN32489_c2_g3	turquoise
TRINITY_DN176323_c0_g1	turquoise
TRINITY_DN157575_c0_g1	grey
TRINITY_DN1053_c1_g3	blue
TRINITY_DN135260_c0_g1	turquoise
TRINITY_DN30544_c0_g1	blue
TRINITY_DN6636_c6_g1	blue
TRINITY_DN7861_c0_g3	turquoise
TRINITY_DN33924_c1_g1	blue
TRINITY_DN19338_c0_g3	grey
TRINITY_DN16445_c0_g1	turquoise
TRINITY_DN12235_c0_g2	grey
TRINITY_DN7274_c2_g2	turquoise
TRINITY_DN48493_c1_g1	blue
TRINITY_DN1168_c1_g2	turquoise
TRINITY_DN10157_c4_g1	blue
TRINITY_DN47139_c1_g1	grey
TRINITY_DN1219_c0_g1	blue
TRINITY_DN104711_c0_g1	turquoise
TRINITY_DN43250_c1_g1	grey
TRINITY_DN58314_c0_g1	grey
TRINITY_DN39495_c0_g1	turquoise
TRINITY_DN46169_c0_g1	blue
TRINITY_DN114321_c2_g1	blue
TRINITY_DN9785_c2_g1	grey
TRINITY_DN96989_c0_g1	blue
TRINITY_DN87394_c0_g3	turquoise
TRINITY_DN64496_c0_g1	turquoise
TRINITY_DN34873_c2_g1	blue
TRINITY_DN6198_c2_g1	blue
TRINITY_DN22750_c0_g1	turquoise
TRINITY_DN74070_c0_g1	blue
TRINITY_DN4471_c0_g1	turquoise
TRINITY_DN141485_c0_g1	green
TRINITY_DN37778_c0_g1	turquoise
TRINITY_DN40429_c0_g3	turquoise
TRINITY_DN123225_c0_g1	turquoise
TRINITY_DN66887_c0_g1	turquoise
TRINITY_DN164407_c0_g1	blue
TRINITY_DN9347_c0_g1	grey
TRINITY_DN64102_c0_g1	grey
TRINITY_DN77590_c0_g1	grey
TRINITY_DN165_c0_g3	blue
TRINITY_DN132567_c0_g1	turquoise
TRINITY_DN107657_c0_g1	blue
TRINITY_DN3403_c1_g1	turquoise
TRINITY_DN606_c9_g2	turquoise
TRINITY_DN130_c1_g1	turquoise
TRINITY_DN15740_c1_g4	turquoise
TRINITY_DN89295_c0_g2	blue
TRINITY_DN6504_c1_g1	turquoise
TRINITY_DN12918_c0_g2	turquoise
TRINITY_DN3504_c0_g1	turquoise
TRINITY_DN37078_c0_g1	grey
TRINITY_DN46572_c0_g1	green
TRINITY_DN21766_c2_g1	turquoise
TRINITY_DN24146_c1_g1	grey
TRINITY_DN17373_c1_g1	turquoise
TRINITY_DN45162_c1_g1	turquoise
TRINITY_DN46711_c0_g1	turquoise
TRINITY_DN10986_c0_g2	blue
TRINITY_DN74791_c0_g1	turquoise
TRINITY_DN9137_c0_g2	turquoise
TRINITY_DN26504_c0_g1	turquoise
TRINITY_DN105859_c0_g1	blue
TRINITY_DN2964_c0_g2	turquoise
TRINITY_DN109589_c0_g1	green
TRINITY_DN12519_c0_g2	brown
TRINITY_DN6496_c3_g1	blue
TRINITY_DN12754_c0_g2	blue
TRINITY_DN19071_c0_g3	blue
TRINITY_DN45312_c0_g1	turquoise
TRINITY_DN103417_c0_g1	blue
TRINITY_DN124838_c0_g2	grey
TRINITY_DN114986_c0_g1	turquoise
TRINITY_DN31316_c0_g1	blue
TRINITY_DN1614_c0_g2	blue
TRINITY_DN21612_c0_g2	turquoise
TRINITY_DN205021_c0_g2	grey
TRINITY_DN18090_c3_g1	grey
TRINITY_DN44566_c0_g2	blue
TRINITY_DN15694_c1_g1	turquoise
TRINITY_DN107310_c1_g1	turquoise
TRINITY_DN59512_c1_g1	grey
TRINITY_DN67883_c0_g1	turquoise
TRINITY_DN601_c1_g3	turquoise
TRINITY_DN112464_c1_g1	turquoise
TRINITY_DN15504_c0_g1	blue
TRINITY_DN34975_c0_g1	blue
TRINITY_DN173789_c0_g1	blue
TRINITY_DN161638_c2_g1	turquoise
TRINITY_DN9926_c1_g2	blue
TRINITY_DN26585_c0_g1	blue
TRINITY_DN63940_c2_g1	turquoise
TRINITY_DN139666_c0_g1	grey
TRINITY_DN138533_c0_g1	turquoise
TRINITY_DN98991_c1_g1	blue
TRINITY_DN136809_c0_g1	blue
TRINITY_DN3240_c0_g1	turquoise
TRINITY_DN5073_c13_g1	turquoise
TRINITY_DN81223_c0_g3	grey
TRINITY_DN108271_c0_g1	blue
TRINITY_DN40439_c0_g1	turquoise
TRINITY_DN3828_c1_g1	turquoise
TRINITY_DN6544_c5_g1	turquoise
TRINITY_DN76538_c0_g2	blue
TRINITY_DN14936_c2_g1	grey
TRINITY_DN20356_c0_g2	blue
TRINITY_DN4425_c0_g2	turquoise
TRINITY_DN769_c1_g1	turquoise
TRINITY_DN1716_c5_g2	turquoise
TRINITY_DN119218_c0_g2	blue
TRINITY_DN129573_c0_g1	turquoise
TRINITY_DN25526_c0_g1	turquoise
TRINITY_DN40137_c2_g1	turquoise
TRINITY_DN2285_c2_g2	yellow
TRINITY_DN49251_c0_g2	turquoise
TRINITY_DN83952_c0_g1	blue
TRINITY_DN112571_c0_g1	turquoise
TRINITY_DN77798_c0_g1	grey
TRINITY_DN8065_c5_g2	turquoise
TRINITY_DN124477_c0_g1	turquoise
TRINITY_DN53898_c1_g1	turquoise
TRINITY_DN175248_c0_g1	blue
TRINITY_DN31437_c0_g1	blue
TRINITY_DN120814_c0_g1	turquoise
TRINITY_DN102462_c0_g1	turquoise
TRINITY_DN15594_c1_g1	turquoise
TRINITY_DN93888_c2_g1	blue
TRINITY_DN45825_c0_g1	turquoise
TRINITY_DN115154_c0_g1	turquoise
TRINITY_DN9337_c0_g2	blue
TRINITY_DN22379_c1_g1	turquoise
TRINITY_DN141704_c0_g1	turquoise
TRINITY_DN266973_c0_g1	blue
TRINITY_DN42882_c0_g1	turquoise
TRINITY_DN72713_c0_g1	blue
TRINITY_DN25509_c0_g1	turquoise
TRINITY_DN182789_c0_g1	blue
TRINITY_DN20188_c1_g1	blue
TRINITY_DN57556_c0_g1	blue
TRINITY_DN3456_c4_g1	blue
TRINITY_DN87834_c2_g1	turquoise
TRINITY_DN8568_c0_g1	blue
TRINITY_DN35610_c0_g1	grey
TRINITY_DN17445_c1_g1	turquoise
TRINITY_DN7874_c0_g2	turquoise
TRINITY_DN188352_c0_g1	blue
TRINITY_DN218864_c0_g1	grey
TRINITY_DN111567_c0_g1	blue
TRINITY_DN2621_c4_g1	grey
TRINITY_DN24748_c1_g1	turquoise
TRINITY_DN104489_c0_g3	blue
TRINITY_DN64103_c0_g1	turquoise
TRINITY_DN68293_c0_g1	blue
TRINITY_DN64220_c0_g1	blue
TRINITY_DN38584_c1_g3	blue
TRINITY_DN2312_c2_g1	turquoise
TRINITY_DN24369_c0_g1	turquoise
TRINITY_DN15476_c0_g1	blue
TRINITY_DN48920_c0_g1	turquoise
TRINITY_DN125760_c0_g1	turquoise
TRINITY_DN5_c35_g1	grey
TRINITY_DN168090_c1_g1	turquoise
TRINITY_DN45459_c2_g1	turquoise
TRINITY_DN124371_c0_g1	grey
TRINITY_DN194890_c0_g1	blue
TRINITY_DN58752_c0_g2	turquoise
TRINITY_DN55390_c0_g2	turquoise
TRINITY_DN18904_c2_g1	green
TRINITY_DN20138_c0_g1	blue
TRINITY_DN157140_c0_g1	blue
TRINITY_DN15208_c0_g2	turquoise
TRINITY_DN2816_c8_g1	turquoise
TRINITY_DN156946_c0_g1	green
TRINITY_DN1076_c1_g2	blue
TRINITY_DN97187_c1_g1	blue
TRINITY_DN172338_c0_g1	turquoise
TRINITY_DN30369_c0_g1	turquoise
TRINITY_DN43842_c0_g1	turquoise
TRINITY_DN5635_c2_g1	turquoise
TRINITY_DN7386_c1_g1	turquoise
TRINITY_DN106930_c0_g1	blue
TRINITY_DN97626_c0_g2	turquoise
TRINITY_DN18831_c0_g1	turquoise
TRINITY_DN15576_c2_g2	grey
TRINITY_DN69435_c3_g1	blue
TRINITY_DN30817_c0_g1	blue
TRINITY_DN50561_c0_g1	grey
TRINITY_DN177068_c1_g2	turquoise
TRINITY_DN93132_c0_g1	blue
TRINITY_DN20255_c0_g1	blue
TRINITY_DN6159_c0_g1	turquoise
TRINITY_DN50174_c0_g3	blue
TRINITY_DN2407_c0_g1	turquoise
TRINITY_DN36987_c1_g1	turquoise
TRINITY_DN45038_c1_g1	turquoise
TRINITY_DN12076_c1_g1	turquoise
TRINITY_DN218517_c0_g1	blue
TRINITY_DN65216_c0_g1	grey
TRINITY_DN117190_c0_g1	blue
TRINITY_DN1995_c8_g1	turquoise
TRINITY_DN38297_c0_g1	turquoise
TRINITY_DN138048_c0_g1	blue
TRINITY_DN57245_c0_g1	blue
TRINITY_DN484_c0_g1	turquoise
TRINITY_DN29505_c1_g1	turquoise
TRINITY_DN196953_c0_g1	turquoise
TRINITY_DN168113_c0_g1	turquoise
TRINITY_DN58475_c0_g1	turquoise
TRINITY_DN127075_c0_g1	turquoise
TRINITY_DN9414_c6_g1	grey
TRINITY_DN1647_c0_g2	turquoise
TRINITY_DN40791_c1_g2	blue
TRINITY_DN5622_c1_g1	turquoise
TRINITY_DN168416_c0_g2	turquoise
TRINITY_DN41829_c2_g1	blue
TRINITY_DN162_c10_g1	turquoise
TRINITY_DN97228_c1_g1	grey
TRINITY_DN67809_c0_g1	turquoise
TRINITY_DN38826_c0_g1	grey
TRINITY_DN18117_c1_g3	turquoise
TRINITY_DN2695_c0_g3	brown
TRINITY_DN119511_c0_g1	blue
TRINITY_DN47163_c2_g1	turquoise
TRINITY_DN181661_c0_g1	grey
TRINITY_DN1784_c2_g1	green
TRINITY_DN75012_c0_g1	turquoise
TRINITY_DN55267_c0_g1	turquoise
TRINITY_DN60667_c0_g1	turquoise
TRINITY_DN70803_c0_g1	yellow
TRINITY_DN242_c3_g1	blue
TRINITY_DN48895_c0_g2	grey
TRINITY_DN81613_c0_g1	grey
TRINITY_DN3169_c3_g2	turquoise
TRINITY_DN17528_c0_g1	turquoise
TRINITY_DN85488_c0_g1	turquoise
TRINITY_DN152506_c0_g1	grey
TRINITY_DN79390_c0_g1	turquoise
TRINITY_DN177227_c3_g1	grey
TRINITY_DN13198_c0_g1	blue
TRINITY_DN6064_c10_g2	blue
TRINITY_DN152181_c0_g1	turquoise
TRINITY_DN20404_c1_g1	turquoise
TRINITY_DN109170_c0_g1	turquoise
TRINITY_DN23417_c0_g1	turquoise
TRINITY_DN137734_c0_g1	turquoise
TRINITY_DN49437_c1_g1	turquoise
TRINITY_DN153816_c0_g1	turquoise
TRINITY_DN55631_c0_g1	grey
TRINITY_DN5523_c1_g4	blue
TRINITY_DN50624_c0_g1	grey
TRINITY_DN117459_c0_g1	turquoise
TRINITY_DN3273_c4_g2	grey
TRINITY_DN81297_c1_g2	red
TRINITY_DN704_c11_g1	blue
TRINITY_DN2301_c0_g1	blue
TRINITY_DN61420_c1_g1	blue
TRINITY_DN67753_c0_g1	blue
TRINITY_DN38876_c1_g1	turquoise
TRINITY_DN1027_c1_g1	turquoise
TRINITY_DN35265_c0_g1	blue
TRINITY_DN3063_c2_g2	turquoise
TRINITY_DN104042_c0_g1	blue
TRINITY_DN148154_c1_g1	green
TRINITY_DN11263_c0_g1	blue
TRINITY_DN11261_c0_g2	blue
TRINITY_DN33370_c1_g1	turquoise
TRINITY_DN8280_c2_g1	blue
TRINITY_DN322_c1_g1	turquoise
TRINITY_DN128767_c0_g1	grey
TRINITY_DN75971_c2_g1	blue
TRINITY_DN6472_c1_g3	grey
TRINITY_DN49431_c0_g1	blue
TRINITY_DN37131_c0_g1	blue
TRINITY_DN221130_c1_g1	turquoise
TRINITY_DN48766_c1_g1	turquoise
TRINITY_DN114180_c0_g1	turquoise
TRINITY_DN71688_c1_g1	blue
TRINITY_DN28354_c0_g1	turquoise
TRINITY_DN6039_c1_g2	turquoise
TRINITY_DN8137_c0_g2	turquoise
TRINITY_DN1111_c7_g3	turquoise
TRINITY_DN1290_c1_g1	turquoise
TRINITY_DN181046_c0_g1	turquoise
TRINITY_DN21601_c0_g1	blue
TRINITY_DN38225_c1_g1	turquoise
TRINITY_DN139747_c0_g3	turquoise
TRINITY_DN2655_c0_g1	turquoise
TRINITY_DN35483_c0_g2	grey
TRINITY_DN3326_c0_g2	blue
TRINITY_DN1328_c2_g1	turquoise
TRINITY_DN507_c0_g4	blue
TRINITY_DN2132_c0_g2	turquoise
TRINITY_DN68177_c0_g1	grey
TRINITY_DN45041_c0_g1	turquoise
TRINITY_DN6622_c1_g2	grey
TRINITY_DN4494_c0_g1	turquoise
TRINITY_DN115687_c0_g1	turquoise
TRINITY_DN7244_c0_g1	turquoise
TRINITY_DN16356_c0_g1	grey
TRINITY_DN141666_c0_g2	blue
TRINITY_DN92124_c3_g1	turquoise
TRINITY_DN39248_c3_g1	blue
TRINITY_DN54077_c1_g1	blue
TRINITY_DN10648_c2_g1	blue
TRINITY_DN288403_c0_g1	grey
TRINITY_DN87317_c1_g1	blue
TRINITY_DN36811_c1_g1	turquoise
TRINITY_DN23198_c0_g1	grey
TRINITY_DN66550_c0_g1	grey
TRINITY_DN66582_c0_g1	grey
TRINITY_DN13815_c0_g1	blue
TRINITY_DN58189_c0_g2	blue
TRINITY_DN12077_c0_g1	blue
TRINITY_DN22575_c0_g1	turquoise
TRINITY_DN45398_c0_g2	grey
TRINITY_DN84321_c0_g1	blue
TRINITY_DN27206_c0_g1	brown
TRINITY_DN134727_c0_g2	grey
TRINITY_DN17217_c0_g2	turquoise
TRINITY_DN18239_c0_g1	turquoise
TRINITY_DN6485_c0_g1	turquoise
TRINITY_DN17733_c0_g1	blue
TRINITY_DN25411_c0_g1	blue
TRINITY_DN9926_c2_g1	blue
TRINITY_DN143063_c0_g1	turquoise
TRINITY_DN34074_c0_g2	blue
TRINITY_DN94100_c0_g1	turquoise
TRINITY_DN8999_c3_g2	blue
TRINITY_DN1870_c9_g1	turquoise
TRINITY_DN14826_c2_g2	blue
TRINITY_DN74581_c0_g2	blue
TRINITY_DN118159_c0_g1	turquoise
TRINITY_DN78081_c0_g1	green
TRINITY_DN9135_c1_g1	blue
TRINITY_DN92066_c0_g1	grey
TRINITY_DN93904_c0_g1	turquoise
TRINITY_DN129364_c0_g1	turquoise
TRINITY_DN60853_c0_g1	turquoise
TRINITY_DN21188_c0_g1	yellow
TRINITY_DN98087_c1_g1	green
TRINITY_DN75549_c0_g3	turquoise
TRINITY_DN171374_c0_g1	turquoise
TRINITY_DN189433_c1_g2	blue
TRINITY_DN9445_c2_g1	green
TRINITY_DN90184_c0_g1	turquoise
TRINITY_DN40298_c3_g1	blue
TRINITY_DN189801_c1_g1	turquoise
TRINITY_DN90100_c0_g1	turquoise
TRINITY_DN5787_c3_g1	blue
TRINITY_DN32073_c0_g1	blue
TRINITY_DN31738_c0_g2	turquoise
TRINITY_DN102301_c0_g1	red
TRINITY_DN43723_c0_g1	turquoise
TRINITY_DN61515_c0_g1	turquoise
TRINITY_DN8139_c1_g1	turquoise
TRINITY_DN84271_c4_g1	turquoise
TRINITY_DN23199_c0_g2	turquoise
TRINITY_DN25280_c0_g1	blue
TRINITY_DN8061_c9_g1	turquoise
TRINITY_DN841_c2_g1	turquoise
TRINITY_DN12785_c0_g1	turquoise
TRINITY_DN96034_c0_g1	turquoise
TRINITY_DN56900_c1_g1	turquoise
TRINITY_DN311_c4_g3	green
TRINITY_DN131761_c0_g1	turquoise
TRINITY_DN1066_c3_g1	blue
TRINITY_DN113189_c0_g1	grey
TRINITY_DN37775_c0_g1	turquoise
TRINITY_DN8538_c1_g1	blue
TRINITY_DN2499_c0_g1	blue
TRINITY_DN17013_c1_g1	blue
TRINITY_DN108023_c1_g1	blue
TRINITY_DN20313_c0_g1	turquoise
TRINITY_DN27666_c1_g1	turquoise
TRINITY_DN72188_c0_g2	turquoise
TRINITY_DN13039_c0_g1	blue
TRINITY_DN74335_c1_g1	blue
TRINITY_DN4369_c0_g1	turquoise
TRINITY_DN102738_c1_g1	blue
TRINITY_DN1837_c0_g1	turquoise
TRINITY_DN2374_c1_g2	turquoise
TRINITY_DN32662_c0_g1	blue
TRINITY_DN6223_c9_g4	turquoise
TRINITY_DN100546_c1_g1	turquoise
TRINITY_DN28_c1_g1	grey
TRINITY_DN98453_c0_g1	blue
TRINITY_DN12472_c0_g1	turquoise
TRINITY_DN23937_c0_g1	turquoise
TRINITY_DN83933_c0_g1	turquoise
TRINITY_DN87421_c2_g1	turquoise
TRINITY_DN23204_c0_g1	turquoise
TRINITY_DN116537_c0_g1	blue
TRINITY_DN206_c3_g1	turquoise
TRINITY_DN211767_c0_g1	turquoise
TRINITY_DN143044_c0_g1	yellow
TRINITY_DN76162_c0_g1	turquoise
TRINITY_DN48501_c1_g1	turquoise
TRINITY_DN111650_c0_g1	turquoise
TRINITY_DN80296_c0_g1	blue
TRINITY_DN30474_c3_g2	blue
TRINITY_DN105210_c0_g1	turquoise
TRINITY_DN8965_c2_g1	turquoise
TRINITY_DN2985_c1_g1	grey
TRINITY_DN198088_c0_g1	grey
TRINITY_DN38862_c2_g1	turquoise
TRINITY_DN21257_c0_g2	turquoise
TRINITY_DN8237_c3_g1	turquoise
TRINITY_DN8463_c0_g1	turquoise
TRINITY_DN40067_c1_g1	grey
TRINITY_DN85449_c1_g1	blue
TRINITY_DN48744_c0_g1	blue
TRINITY_DN5046_c5_g1	blue
TRINITY_DN18424_c0_g1	grey
TRINITY_DN147797_c0_g1	blue
TRINITY_DN55066_c0_g2	turquoise
TRINITY_DN246_c1_g1	blue
TRINITY_DN8582_c0_g1	blue
TRINITY_DN46443_c2_g1	grey
TRINITY_DN179892_c0_g1	grey
TRINITY_DN187021_c0_g1	turquoise
TRINITY_DN160_c12_g2	grey
TRINITY_DN1085_c1_g3	turquoise
TRINITY_DN30532_c0_g1	turquoise
TRINITY_DN31511_c0_g1	turquoise
TRINITY_DN68606_c0_g2	turquoise
TRINITY_DN4664_c0_g1	turquoise
TRINITY_DN33185_c2_g3	turquoise
TRINITY_DN48223_c3_g1	blue
TRINITY_DN6724_c0_g3	grey
TRINITY_DN132719_c0_g1	turquoise
TRINITY_DN1333_c5_g1	blue
TRINITY_DN120144_c0_g3	blue
TRINITY_DN30041_c2_g1	grey
TRINITY_DN205_c15_g1	turquoise
TRINITY_DN54581_c0_g1	blue
TRINITY_DN41021_c4_g1	blue
TRINITY_DN12199_c0_g1	turquoise
TRINITY_DN52920_c0_g1	turquoise
TRINITY_DN21772_c0_g2	turquoise
TRINITY_DN36150_c0_g1	green
TRINITY_DN21114_c0_g1	turquoise
TRINITY_DN31749_c1_g1	turquoise
TRINITY_DN127250_c0_g1	turquoise
TRINITY_DN165842_c0_g1	blue
TRINITY_DN2527_c0_g1	turquoise
TRINITY_DN3562_c0_g2	turquoise
TRINITY_DN190399_c0_g1	blue
TRINITY_DN19514_c0_g1	blue
TRINITY_DN44875_c0_g1	grey
TRINITY_DN80693_c0_g1	turquoise
TRINITY_DN90866_c1_g1	green
TRINITY_DN4581_c0_g1	grey
TRINITY_DN63940_c0_g3	blue
TRINITY_DN78027_c0_g1	turquoise
TRINITY_DN98068_c0_g1	blue
TRINITY_DN20851_c2_g1	grey
TRINITY_DN4617_c1_g2	turquoise
TRINITY_DN123882_c0_g1	blue
TRINITY_DN21222_c0_g1	blue
TRINITY_DN8577_c0_g1	turquoise
TRINITY_DN150228_c0_g1	grey
TRINITY_DN50534_c0_g1	grey
TRINITY_DN232084_c0_g1	turquoise
TRINITY_DN126869_c1_g1	blue
TRINITY_DN117742_c0_g1	turquoise
TRINITY_DN11742_c4_g1	blue
TRINITY_DN30961_c1_g4	turquoise
TRINITY_DN72734_c1_g1	green
TRINITY_DN1203_c3_g1	blue
TRINITY_DN96488_c2_g1	turquoise
TRINITY_DN1017_c0_g2	blue
TRINITY_DN17122_c0_g1	blue
TRINITY_DN28060_c0_g1	turquoise
TRINITY_DN20200_c0_g1	turquoise
TRINITY_DN23585_c1_g1	turquoise
TRINITY_DN450_c0_g4	turquoise
TRINITY_DN175791_c0_g1	turquoise
TRINITY_DN852_c1_g3	grey
TRINITY_DN103498_c0_g1	green
TRINITY_DN32907_c3_g1	turquoise
TRINITY_DN5636_c19_g4	turquoise
TRINITY_DN85092_c0_g2	turquoise
TRINITY_DN20805_c4_g1	turquoise
TRINITY_DN112621_c0_g1	grey
TRINITY_DN5099_c1_g3	turquoise
TRINITY_DN12892_c1_g1	turquoise
TRINITY_DN65643_c2_g1	blue
TRINITY_DN10383_c5_g1	blue
TRINITY_DN35211_c0_g1	turquoise
TRINITY_DN1106_c21_g1	grey
TRINITY_DN169862_c0_g3	turquoise
TRINITY_DN68735_c1_g2	blue
TRINITY_DN27438_c1_g1	grey
TRINITY_DN7446_c31_g1	blue
TRINITY_DN11134_c8_g1	blue
TRINITY_DN133806_c0_g1	turquoise
TRINITY_DN38402_c1_g1	turquoise
TRINITY_DN21337_c0_g1	turquoise
TRINITY_DN41869_c0_g1	turquoise
TRINITY_DN101020_c1_g1	turquoise
TRINITY_DN35142_c1_g1	blue
TRINITY_DN128175_c0_g1	blue
TRINITY_DN5783_c0_g1	turquoise
TRINITY_DN12359_c0_g1	blue
TRINITY_DN5168_c0_g2	turquoise
TRINITY_DN167142_c0_g2	blue
TRINITY_DN33788_c4_g1	blue
TRINITY_DN10393_c0_g1	turquoise
TRINITY_DN13659_c1_g1	turquoise
TRINITY_DN43351_c0_g1	turquoise
TRINITY_DN53695_c0_g1	turquoise
TRINITY_DN1144_c1_g1	blue
TRINITY_DN3264_c10_g1	blue
TRINITY_DN10986_c3_g1	blue
TRINITY_DN15155_c0_g3	green
TRINITY_DN49531_c0_g1	turquoise
TRINITY_DN106677_c0_g2	turquoise
TRINITY_DN37657_c1_g1	blue
TRINITY_DN200457_c0_g1	blue
TRINITY_DN122860_c0_g1	brown
TRINITY_DN84117_c0_g3	brown
TRINITY_DN97296_c0_g1	turquoise
TRINITY_DN2985_c0_g2	blue
TRINITY_DN35520_c5_g1	green
TRINITY_DN12598_c0_g1	blue
TRINITY_DN28305_c1_g1	grey
TRINITY_DN13546_c1_g1	turquoise
TRINITY_DN4718_c9_g1	blue
TRINITY_DN70028_c0_g1	yellow
TRINITY_DN67197_c0_g2	blue
TRINITY_DN115150_c0_g3	green
TRINITY_DN169_c10_g1	turquoise
TRINITY_DN5196_c1_g1	turquoise
TRINITY_DN183913_c0_g1	turquoise
TRINITY_DN8102_c0_g1	blue
TRINITY_DN122269_c0_g1	blue
TRINITY_DN154827_c0_g1	blue
TRINITY_DN4303_c4_g1	grey
TRINITY_DN129523_c0_g1	turquoise
TRINITY_DN22919_c0_g1	turquoise
TRINITY_DN29556_c1_g1	blue
TRINITY_DN117401_c0_g1	turquoise
TRINITY_DN3370_c6_g1	turquoise
TRINITY_DN3267_c1_g1	blue
TRINITY_DN71180_c1_g1	turquoise
TRINITY_DN102612_c0_g1	turquoise
TRINITY_DN48736_c0_g1	blue
TRINITY_DN28259_c3_g1	turquoise
TRINITY_DN50536_c0_g1	turquoise
TRINITY_DN55172_c0_g1	turquoise
TRINITY_DN53962_c0_g1	grey
TRINITY_DN93853_c1_g1	turquoise
TRINITY_DN322_c0_g2	turquoise
TRINITY_DN20615_c0_g3	turquoise
TRINITY_DN74672_c1_g1	blue
TRINITY_DN132621_c1_g1	blue
TRINITY_DN140583_c0_g1	turquoise
TRINITY_DN76137_c0_g3	grey
TRINITY_DN97858_c0_g1	turquoise
TRINITY_DN151348_c0_g1	turquoise
TRINITY_DN44577_c0_g1	blue
TRINITY_DN41518_c0_g1	blue
TRINITY_DN44134_c0_g2	blue
TRINITY_DN5103_c2_g2	blue
TRINITY_DN13669_c1_g3	blue
TRINITY_DN88681_c0_g1	blue
TRINITY_DN77848_c0_g2	turquoise
TRINITY_DN71597_c0_g1	yellow
TRINITY_DN143238_c1_g1	turquoise
TRINITY_DN133553_c1_g1	grey
